iter	Passed	Remaining
455	943	1125
456	944	1122
457	946	1119
458	947	1116
459	949	1114
460	950	1111
461	952	1108
462	953	1106
463	955	1103
464	956	1100
465	958	1097
466	959	1095
467	960	1092
468	962	1089
469	963	1087
470	965	1084
471	966	1081
472	968	1078
473	969	1075
474	971	1073
475	972	1070
476	973	1067
477	975	1065
478	976	1062
479	978	1060
480	980	1057
481	981	1055
482	983	1052
483	984	1049
484	986	1047
485	987	1044
486	989	1041
487	990	1039
488	992	1037
489	994	1034
490	995	1032
491	996	1029
492	998	1026
493	999	1023
494	1001	1021
495	1002	1018
496	1004	1016
497	1005	1014
498	1007	1011
499	1009	1009
500	1011	1007
501	1013	1005
502	1014	1002
503	1016	1000
504	1017	997
505	1019	995
506	1021	992
507	1022	990
508	1024	988
509	1025	985
510	1027	983
511	1029	980
512	1030	978
513	1032	976
514	1034	974
515	1035	971
516	1037	969
517	1039	967
518	1040	964
519	1042	961
520	1043	959
521	1044	956
522	1046	954
523	1047	951
524	1049	949
525	1050	946
526	1052	944
527	1054	942
528	1055	939
529	1057	937
530	1058	935
531	1060	932
532	1062	930
533	1064	928
534	1065	926
535	1067	923
536	1068	921
537	1070	918
538	1071	916
539	1073	914
540	1074	911
541	1075	909
542	1077	906
543	1078	904
544	1079	901
545	1081	899
546	1083	896
547	1084	894
548	1085	892
549	1087	889
550	1088	887
551	1090	884
552	1091	882
553	1093	880
554	1094	877
555	1096	875
556	1097	873
557	1099	870
558	1100	868
559	1102	865
560	1103	863
561	1105	861
562	1106	859
563	1108	856
564	1109	854
565	1111	852
566	1113	850
567	1114	847
568	1116	845
569	1118	843
570	1119	841
571	1120	838
572	1122	836
573	1123	833
574	1125	831
575	1127	829
576	1128	827
577	1129	824
578	1131	822
579	1132	820
580	1133	817
581	1135	815
582	1136	813
583	1138	810
584	1139	808
585	1141	806
586	1142	803
587	1143	801
588	1145	799
589	1146	796
590	1147	794
591	1149	792
592	1150	789
593	1152	787
594	1153	785
595	1156	783
596	1157	781
597	1158	779
598	1160	776
599	1161	774
600	1162	771
601	1164	769
602	1165	767
603	1166	764
604	1168	762
605	1169	760
606	1171	758
607	1172	756
608	1174	753
609	1175	751
610	1176	749
611	1178	747
612	1180	745
613	1181	742
614	1182	740
615	1184	738
616	1185	736
617	1187	733
618	1188	731
619	1190	729
620	1191	727
621	1193	725
622	1194	722
623	1195	720
624	1197	718
625	1198	716
626	1200	714
627	1202	712
628	1203	709
629	1205	707
630	1206	705
631	1207	703
632	1209	701
633	1210	698
634	1211	696
635	1213	694
636	1215	692
637	1216	690
638	1217	688
639	1219	685
640	1220	683
641	1222	681
642	1223	679
643	1225	677
644	1226	675
645	1228	673
646	1229	670
647	1231	668
648	1232	666
649	1233	664
650	1235	662
651	1236	660
652	1237	657
653	1239	655
654	1240	653
655	1242	651
656	1243	649
657	1245	647
658	1247	645
659	1248	643
660	1249	640
661	1251	638
662	1252	636
663	1254	634
664	1255	632
665	1256	630
666	1258	628
667	1259	626
668	1261	624
669	1262	621
670	1263	619
671	1265	617
672	1266	615
673	1267	613
674	1269	611
675	1270	609
676	1272	606
677	1273	604
678	1274	602
679	1276	600
680	1277	598
681	1279	596
682	1280	594
683	1281	592
684	1283	590
685	1284	588
686	1286	585
687	1287	583
688	1289	581
689	1290	579
690	1292	577
691	1293	575
692	1294	573
693	1296	571
694	1297	569
695	1299	567
696	1300	565
697	1302	563
698	1303	561
699	1305	559
700	1306	557
701	1308	555
702	1309	553
703	1311	551
704	1312	549
705	1313	547
706	1315	545
707	1316	543
708	1318	541
709	1319	539
710	1321	537
711	1322	534
712	1323	532
713	1325	530
714	1326	528
715	1328	526
716	1329	524
717	1331	523
718	1333	521
719	1334	519
720	1336	517
721	1337	515
722	1338	512
723	1340	510
724	1341	508
725	1343	506
726	1344	504
727	1346	502
728	1347	500
729	1349	498
730	1350	496
731	1351	494
732	1353	492
733	1354	490
734	1355	488
735	1357	486
736	1358	484
737	1360	482
738	1361	480
739	1363	478
740	1364	476
741	1365	474
742	1367	472
743	1368	470
744	1369	468
745	1371	466
746	1372	464
747	1374	462
748	1375	461
749	1377	459
750	1379	457
751	1380	455
752	1381	453
753	1383	451
754	1384	449
755	1385	447
756	1387	445
757	1388	443
758	1390	441
759	1392	439
760	1393	437
761	1394	435
762	1396	433
763	1397	431
764	1399	429
765	1400	427
766	1402	425
767	1403	423
768	1405	422
769	1407	420
770	1409	418
771	1410	416
772	1411	414
773	1413	412
774	1414	410
775	1416	408
776	1417	406
777	1418	404
778	1420	402
779	1421	401
780	1423	399
781	1424	397
782	1426	395
783	1427	393
784	1429	391
785	1431	389
786	1432	387
787	1434	385
788	1435	383
789	1437	382
790	1438	380
791	1439	378
792	1441	376
793	1442	374
794	1444	372
795	1445	370
796	1446	368
797	1447	366
798	1449	364
799	1450	362
800	1452	360
801	1453	358
802	1454	356
803	1455	354
804	1456	352
805	1457	350
806	1459	348
807	1460	347
808	1461	345
809	1462	343
810	1464	341
811	1465	339
812	1466	337
813	1468	335
814	1469	333
815	1470	331
816	1472	329
817	1473	327
818	1474	325
819	1476	324
820	1477	322
821	1480	320
822	1482	318
823	1484	316
824	1485	315
825	1487	313
826	1489	311
827	1490	309
828	1492	307
829	1494	306
830	1496	304
831	1497	302
832	1499	300
833	1500	298
834	1502	296
835	1503	294
836	1505	293
837	1507	291
838	1509	289
839	1510	287
840	1512	285
841	1513	284
842	1515	282
843	1516	280
844	1518	278
845	1519	276
846	1521	274
847	1522	272
848	1524	271
849	1525	269
850	1527	267
851	1528	265
852	1530	263
853	1531	261
854	1533	260
855	1534	258
856	1536	256
857	1537	254
858	1539	252
859	1541	250
860	1542	249
861	1544	247
862	1545	245
863	1547	243
864	1548	241
865	1550	239
866	1551	237
867	1553	236
868	1555	234
869	1556	232
870	1557	230
871	1559	228
872	1560	227
873	1562	225
874	1563	223
875	1565	221
876	1566	219
877	1568	217
878	1570	216
879	1571	214
880	1572	212
881	1574	210
882	1575	208
883	1577	206
884	1578	205
885	1579	203
886	1581	201
887	1582	199
888	1584	197
889	1586	196
890	1587	194
891	1589	192
892	1590	190
893	1591	188
894	1593	186
895	1594	185
896	1595	183
897	1597	181
898	1599	179
899	1600	177
900	1602	176
901	1603	174
902	1604	172
903	1606	170
904	1607	168
905	1608	166
906	1610	165
907	1611	163
908	1613	161
909	1615	159
910	1616	157
911	1618	156
912	1619	154
913	1620	152
914	1622	150
915	1623	148
916	1625	147
917	1626	145
918	1628	143
919	1630	141
920	1631	139
921	1632	138
922	1634	136
923	1635	134
924	1636	132
925	1638	130
926	1639	129
927	1641	127
928	1643	125
929	1644	123
930	1645	121
931	1647	120
932	1648	118
933	1650	116
934	1651	114
935	1653	113
936	1655	111
937	1657	109
938	1658	107
939	1660	105
940	1661	104
941	1662	102
942	1663	100
943	1665	98
944	1666	96
945	1667	95
946	1668	93
947	1671	91
948	1673	89
949	1674	88
950	1675	86
951	1677	84
952	1678	82
953	1679	80
954	1681	79
955	1682	77
956	1683	75
957	1685	73
958	1687	72
959	1688	70
960	1690	68
961	1691	66
962	1693	65
963	1694	63
964	1696	61
965	1697	59
966	1698	57
967	1700	56
968	1702	54
969	1703	52
970	1704	50
971	1706	49
972	1707	47
973	1709	45
974	1710	43
975	1711	42
976	1713	40
977	1714	38
978	1716	36
979	1717	35
980	1718	33
981	1720	31
982	1721	29
983	1722	28
984	1724	26
985	1725	24
986	1727	22
987	1728	20
988	1730	19
989	1731	17
990	1733	15
991	1734	13
992	1735	12
993	1737	10
994	1738	8
995	1739	6
996	1741	5
997	1742	3
998	1743	1
999	1745	0
